inventory_id,product_id,warehouse_id,quantity_on_hand,last_updated
INV-c3d8ddd7cd6c,PROD-00000,WH1_South,260,2026-02-27T14:39:39.063326
INV-65bce74bf9c6,PROD-00000,WH_Midland,159,2026-02-27T14:39:39.063393
INV-fdf84e392dea,PROD-00000,WH_North,221,2026-02-27T14:39:39.063422
INV-58ba666b6799,PROD-00001,WH1_South,254,2026-02-27T14:39:39.063535
INV-b0aae9f94a4a,PROD-00001,WH_Midland,28,2026-02-27T14:39:39.063563
INV-678974c420b6,PROD-00001,WH_North,210,2026-02-27T14:39:39.063586
INV-a77f674f44c7,PROD-00002,WH1_South,110,2026-02-27T14:39:39.063687
INV-2996ee9bc050,PROD-00002,WH_Midland,34,2026-02-27T14:39:39.063713
INV-2bb79bea9fa9,PROD-00002,WH_North,256,2026-02-27T14:39:39.063736
INV-def694b61d26,PROD-00003,WH1_South,159,2026-02-27T14:39:39.063834
INV-471bca2b4633,PROD-00003,WH_Midland,42,2026-02-27T14:39:39.063859
INV-93f18eedecf1,PROD-00003,WH_North,144,2026-02-27T14:39:39.063882
INV-cc0fbc23e446,PROD-00004,WH1_South,56,2026-02-27T14:39:39.063979
INV-b2dad489840e,PROD-00004,WH_Midland,151,2026-02-27T14:39:39.064006
INV-e55a38be9f12,PROD-00004,WH_North,131,2026-02-27T14:39:39.064028
INV-89ae7ac09c44,PROD-00005,WH1_South,19,2026-02-27T14:39:39.064126
INV-9f355e28048a,PROD-00005,WH_Midland,233,2026-02-27T14:39:39.064152
INV-757a697cb312,PROD-00005,WH_North,92,2026-02-27T14:39:39.064174
INV-6a62b8d41107,PROD-00006,WH1_South,241,2026-02-27T14:39:39.064268
INV-481368e7d2db,PROD-00006,WH_Midland,229,2026-02-27T14:39:39.064293
INV-7339a2c346ad,PROD-00006,WH_North,12,2026-02-27T14:39:39.064315
INV-3319e85d4e82,PROD-00007,WH1_South,78,2026-02-27T14:39:39.064410
INV-51b0cfd57903,PROD-00007,WH_Midland,73,2026-02-27T14:39:39.064435
INV-023ececfee36,PROD-00007,WH_North,21,2026-02-27T14:39:39.064546
INV-4c09329deca6,PROD-00008,WH1_South,188,2026-02-27T14:39:39.064651
INV-b1cd1a73bc80,PROD-00008,WH_Midland,120,2026-02-27T14:39:39.064677
INV-1ca4303b2128,PROD-00008,WH_North,124,2026-02-27T14:39:39.064699
INV-17ed391bf554,PROD-00009,WH1_South,191,2026-02-27T14:39:39.064795
INV-fffabdd9ba82,PROD-00009,WH_Midland,208,2026-02-27T14:39:39.064821
INV-11d2c1774a21,PROD-00009,WH_North,206,2026-02-27T14:39:39.064842
INV-3610259bbdbe,PROD-00010,WH1_South,194,2026-02-27T14:39:39.064938
INV-06fc36eb7fa5,PROD-00010,WH_Midland,246,2026-02-27T14:39:39.064963
INV-442ba88c70a3,PROD-00010,WH_North,46,2026-02-27T14:39:39.064987
INV-456d6685ec49,PROD-00011,WH1_South,235,2026-02-27T14:39:39.065083
INV-0972b68acf67,PROD-00011,WH_Midland,6,2026-02-27T14:39:39.065108
INV-0c188eee5a35,PROD-00011,WH_North,260,2026-02-27T14:39:39.065131
INV-9ae8a086a839,PROD-00012,WH1_South,100,2026-02-27T14:39:39.065229
INV-10d3c0fd4024,PROD-00012,WH_Midland,195,2026-02-27T14:39:39.065254
INV-d490a6f2364b,PROD-00012,WH_North,295,2026-02-27T14:39:39.065275
INV-eb5249aee295,PROD-00013,WH1_South,169,2026-02-27T14:39:39.065371
INV-78115ac4fb7e,PROD-00013,WH_Midland,121,2026-02-27T14:39:39.065396
INV-fcf1a660fc23,PROD-00013,WH_North,96,2026-02-27T14:39:39.065418
INV-66957c2e1fa5,PROD-00014,WH1_South,105,2026-02-27T14:39:39.065513
INV-9b7fa95b8f1e,PROD-00014,WH_Midland,238,2026-02-27T14:39:39.065539
INV-8a3918e75c1a,PROD-00014,WH_North,206,2026-02-27T14:39:39.065562
INV-8e59b1387967,PROD-00015,WH1_South,281,2026-02-27T14:39:39.065658
INV-1d53920c140f,PROD-00015,WH_Midland,235,2026-02-27T14:39:39.065683
INV-338b06178223,PROD-00015,WH_North,183,2026-02-27T14:39:39.065706
INV-c9efb7200171,PROD-00016,WH1_South,81,2026-02-27T14:39:39.065802
INV-dc939cd3261e,PROD-00016,WH_Midland,273,2026-02-27T14:39:39.065828
INV-d707baa2ac6d,PROD-00016,WH_North,214,2026-02-27T14:39:39.065850
INV-2702ac1a64c3,PROD-00017,WH1_South,251,2026-02-27T14:39:39.065945
INV-c2c4292ea7e9,PROD-00017,WH_Midland,294,2026-02-27T14:39:39.065970
INV-34eebf888006,PROD-00017,WH_North,241,2026-02-27T14:39:39.065993
INV-127bdd6d4c53,PROD-00018,WH1_South,25,2026-02-27T14:39:39.066087
INV-7d646b68b141,PROD-00018,WH_Midland,289,2026-02-27T14:39:39.066112
INV-9435abadc5c1,PROD-00018,WH_North,240,2026-02-27T14:39:39.066135
INV-33103198baa1,PROD-00019,WH1_South,284,2026-02-27T14:39:39.066231
INV-a7700ffe7fdf,PROD-00019,WH_Midland,226,2026-02-27T14:39:39.066256
INV-4ecdc8a741e2,PROD-00019,WH_North,86,2026-02-27T14:39:39.066278
INV-003b25bea550,PROD-00020,WH1_South,118,2026-02-27T14:39:39.066373
INV-8d848d76a8d4,PROD-00020,WH_Midland,53,2026-02-27T14:39:39.066399
INV-2b15883d1004,PROD-00020,WH_North,62,2026-02-27T14:39:39.066421
