product_id,sku,product_name,category,unit_cost,reorder_point,reorder_quantity,created_at
PROD-00000,SKU-PLU-0000,Plumbing Product 0,Plumbing,104.09,57,389,2026-02-27T14:39:29.177107
PROD-00001,SKU-SAF-0001,Safety Product 1,Safety,375.82,64,147,2026-02-27T14:39:29.177120
PROD-00002,SKU-TOO-0002,Tools Product 2,Tools,436.83,69,256,2026-02-27T14:39:29.177125
PROD-00003,SKU-ELE-0003,Electrical Product 3,Electrical,248.1,157,118,2026-02-27T14:39:29.177128
PROD-00004,SKU-HIV-0004,HIVE Product 4,HIVE,145.76,179,237,2026-02-27T14:39:29.177131
PROD-00005,SKU-SAF-0005,Safety Product 5,Safety,299.87,90,472,2026-02-27T14:39:29.177135
PROD-00006,SKU-ELE-0006,Electrical Product 6,Electrical,265.84,103,461,2026-02-27T14:39:29.177139
PROD-00007,SKU-TOO-0007,Tools Product 7,Tools,396.92,68,383,2026-02-27T14:39:29.177143
PROD-00008,SKU-ELE-0008,Electrical Product 8,Electrical,15.59,185,444,2026-02-27T14:39:29.177146
PROD-00009,SKU-PLU-0009,Plumbing Product 9,Plumbing,78.21,160,163,2026-02-27T14:39:29.177150
PROD-00010,SKU-ELE-0010,Electrical Product 10,Electrical,310.11,161,314,2026-02-27T14:39:29.177159
PROD-00011,SKU-ELE-0011,Electrical Product 11,Electrical,488.83,102,168,2026-02-27T14:39:29.177161
PROD-00012,SKU-ELE-0012,Electrical Product 12,Electrical,174.48,116,128,2026-02-27T14:39:29.177164
PROD-00013,SKU-TOO-0013,Tools Product 13,Tools,470.34,88,482,2026-02-27T14:39:29.177167
PROD-00014,SKU-HIV-0014,HIVE Product 14,HIVE,181.11,181,212,2026-02-27T14:39:29.177170
PROD-00015,SKU-TOO-0015,Tools Product 15,Tools,74.1,166,104,2026-02-27T14:39:29.177175
PROD-00016,SKU-HIV-0016,HIVE Product 16,HIVE,79.76,64,328,2026-02-27T14:39:29.177179
PROD-00017,SKU-HIV-0017,HIVE Product 17,HIVE,132.2,160,146,2026-02-27T14:39:29.177182
PROD-00018,SKU-TOO-0018,Tools Product 18,Tools,259.66,182,462,2026-02-27T14:39:29.177185
