po_id,supplier_id,order_date,expected_delivery_date,total_amount,status,created_by,approved_by,approved_at,created_at
PO-73c687818288,SUP-0337,2025-12-10,2025-12-28,247932.4,pending,system,manager,2025-12-10T14:39:39.398894,2025-12-10T14:39:39.398894
PO-9b52038428cb,SUP-0475,2026-01-20,2026-01-27,152151.03,pending,system,manager,2026-01-20T14:39:39.406538,2026-01-20T14:39:39.406538
PO-ba7886ed57b6,SUP-0158,2025-12-25,2026-01-04,202277.46,approved,system,manager,2025-12-25T14:39:39.407067,2025-12-25T14:39:39.407067
PO-ceb606f38b35,SUP-0453,2025-12-05,2025-12-23,146247.24,delivered,system,manager,,2025-12-05T14:39:39.408094
PO-417644ab9362,SUP-0472,2025-12-04,2025-12-09,115616.49,approved,system,manager,2025-12-04T14:39:39.408636,2025-12-04T14:39:39.408636
PO-44084799ea40,SUP-0242,2026-01-19,2026-01-27,76044.52,pending,system,,2026-01-19T14:39:39.410516,2026-01-19T14:39:39.410516
PO-9db13111cf13,SUP-0302,2026-02-26,2026-03-01,4298.04,approved,system,manager,2026-02-26T14:39:39.411614,2026-02-26T14:39:39.411614
PO-d51d3b186a94,SUP-0489,2026-01-17,2026-02-05,3274.95,pending,system,manager,2026-01-17T14:39:39.412391,2026-01-17T14:39:39.412391
PO-acea83b51f7d,SUP-0240,2025-12-28,2025-12-31,258480.21,pending,system,manager,,2025-12-28T14:39:39.412997
PO-c6cb49c80687,SUP-0338,2025-12-05,2025-12-16,23226.99,delivered,system,manager,,2025-12-05T14:39:39.414461
PO-457f9d329c39,SUP-0101,2025-12-01,2025-12-08,2563.05,pending,system,manager,2025-12-01T14:39:39.414870,2025-12-01T14:39:39.414870
PO-c6f4ebba3bc0,SUP-0418,2025-12-17,2025-12-25,123379.13,pending,system,manager,,2025-12-17T14:39:39.415272
PO-b5f54b8627a9,SUP-0356,2025-12-14,2025-12-18,38513.15,delivered,system,manager,,2025-12-14T14:39:39.416099
PO-55c3a4781863,SUP-0444,2025-12-13,2026-01-01,172263.25,pending,system,manager,2025-12-13T14:39:39.416683,2025-12-13T14:39:39.416683
PO-4a9f6266bebe,SUP-0314,2025-12-14,2025-12-31,92549.1,delivered,system,,2025-12-14T14:39:39.417305,2025-12-14T14:39:39.417305
PO-77b7998ddb28,SUP-0464,2026-01-12,2026-01-26,132981.49,delivered,system,,2026-01-12T14:39:39.417916,2026-01-12T14:39:39.417916
PO-330156c5d7a6,SUP-0429,2026-02-11,2026-03-03,31450.21,delivered,system,manager,2026-02-11T14:39:39.418916,2026-02-11T14:39:39.418916
PO-82d22bf2a476,SUP-0449,2026-02-11,2026-02-27,78529.12,pending,system,manager,2026-02-11T14:39:39.419626,2026-02-11T14:39:39.419626
PO-2e8f26096419,SUP-0218,2026-01-01,2026-01-04,399086.55,delivered,system,manager,2026-01-01T14:39:39.420282,2026-01-01T14:39:39.420282
PO-3bdd3503e4c8,SUP-0186,2025-12-30,2026-01-08,173125.18,approved,system,manager,,2025-12-30T14:39:39.421096
PO-b38f162dd8a4,SUP-0133,2026-01-20,2026-02-06,5866.4,approved,system,manager,2026-01-20T14:39:39.421692,2026-01-20T14:39:39.421692
PO-c496cc757843,SUP-0178,2025-12-07,2025-12-20,82074.52,approved,system,,,2025-12-07T14:39:39.422108
PO-77d76d3bdfd5,SUP-0352,2025-12-26,2026-01-04,261109.5,delivered,system,,2025-12-26T14:39:39.422697,2025-12-26T14:39:39.422697
PO-4e95a6190bcf,SUP-0464,2026-01-04,2026-01-18,376414.84,pending,system,,2026-01-04T14:39:39.423476,2026-01-04T14:39:39.423476
PO-9bb50a697652,SUP-0028,2026-02-23,2026-03-01,72380.43,approved,system,,,2026-02-23T14:39:39.424081
PO-38b9d6ac55f2,SUP-0069,2026-01-16,2026-01-22,138850.68,delivered,system,,2026-01-16T14:39:39.424460,2026-01-16T14:39:39.424460
