po_line_id,po_id,product_id,quantity,unit_price,line_total,created_at
POL-23042275cbb3,PO-73c687818288,PROD-00603,485,53.92,26151.19,2025-12-10T14:39:39.398894
POL-86c309ecd885,PO-73c687818288,PROD-01109,377,86.34,32549.03,2025-12-10T14:39:39.398894
POL-ea95588724e6,PO-73c687818288,PROD-01494,442,428.13,189232.18,2025-12-10T14:39:39.398894
POL-efdcbcb08110,PO-9b52038428cb,PROD-01291,424,358.85,152151.03,2026-01-20T14:39:39.406538
POL-1f7190e2bedd,PO-ba7886ed57b6,PROD-01985,83,219.89,18250.93,2025-12-25T14:39:39.407067
POL-3566cdf69dac,PO-ba7886ed57b6,PROD-00072,431,426.98,184026.53,2025-12-25T14:39:39.407067
POL-abc59d2abd42,PO-ceb606f38b35,PROD-00161,336,435.26,146247.24,2025-12-05T14:39:39.408094
POL-cb6492198a71,PO-417644ab9362,PROD-00907,351,265.17,93073.61,2025-12-04T14:39:39.408636
POL-7d45cfe58e88,PO-417644ab9362,PROD-01920,74,135.89,10055.93,2025-12-04T14:39:39.408636
POL-5a8e9fa6a7d3,PO-417644ab9362,PROD-01983,161,77.56,12486.95,2025-12-04T14:39:39.408636
POL-9fc51c06eb9e,PO-44084799ea40,PROD-01557,159,336.45,53495.09,2026-01-19T14:39:39.410516
POL-1361a6b31fcf,PO-44084799ea40,PROD-00267,406,55.54,22549.44,2026-01-19T14:39:39.410516
POL-5e92d646b499,PO-9db13111cf13,PROD-01377,84,51.17,4298.04,2026-02-26T14:39:39.411614
POL-14efd7f332f2,PO-d51d3b186a94,PROD-01377,59,55.51,3274.95,2026-01-17T14:39:39.412391
POL-c7b46dd6e2ce,PO-acea83b51f7d,PROD-01910,241,290.38,69981.01,2025-12-28T14:39:39.412997
POL-2e9a4671de23,PO-acea83b51f7d,PROD-00066,429,439.39,188499.2,2025-12-28T14:39:39.412997
POL-1bbe91dbc5c1,PO-c6cb49c80687,PROD-01319,341,68.11,23226.99,2025-12-05T14:39:39.414461
POL-b8ce3e8c4da6,PO-457f9d329c39,PROD-00820,56,45.77,2563.05,2025-12-01T14:39:39.414870
POL-a5fc62abe52b,PO-c6f4ebba3bc0,PROD-00248,256,132.58,33940.44,2025-12-17T14:39:39.415272
POL-28be029e66b0,PO-c6f4ebba3bc0,PROD-00041,306,185.52,56768.05,2025-12-17T14:39:39.415272
POL-2aeee44fd574,PO-c6f4ebba3bc0,PROD-00693,128,255.24,32670.64,2025-12-17T14:39:39.415272
POL-d5275fac2a19,PO-b5f54b8627a9,PROD-00683,126,62.09,7823.7,2025-12-14T14:39:39.416099
POL-c0922b4572ba,PO-b5f54b8627a9,PROD-01028,184,166.79,30689.45,2025-12-14T14:39:39.416099
POL-af5729b58389,PO-55c3a4781863,PROD-01863,355,248.25,88127.07,2025-12-13T14:39:39.416683
POL-aac6ba87ba12,PO-55c3a4781863,PROD-00096,208,404.5,84136.18,2025-12-13T14:39:39.416683
POL-7c101b04d9d7,PO-4a9f6266bebe,PROD-01043,253,53.97,13654.67,2025-12-14T14:39:39.417305
POL-2536a6ace9cc,PO-4a9f6266bebe,PROD-01233,472,167.15,78894.43,2025-12-14T14:39:39.417305
POL-8dc9336b9867,PO-77b7998ddb28,PROD-00966,100,45.06,4506.37,2026-01-12T14:39:39.417916
POL-579bc48a0544,PO-77b7998ddb28,PROD-00508,249,515.96,128475.13,2026-01-12T14:39:39.417916
POL-0a17d12e71bc,PO-330156c5d7a6,PROD-01855,200,24.31,4862.01,2026-02-11T14:39:39.418916
POL-5fc031fef2ec,PO-330156c5d7a6,PROD-01650,95,279.88,26588.2,2026-02-11T14:39:39.418916
POL-62a0a4e6cd5e,PO-82d22bf2a476,PROD-00400,143,404.93,57904.71,2026-02-11T14:39:39.419626
POL-a9b2c32c391f,PO-82d22bf2a476,PROD-01050,72,286.45,20624.41,2026-02-11T14:39:39.419626
POL-2c1eaddf819e,PO-2e8f26096419,PROD-01931,482,481.54,232100.84,2026-01-01T14:39:39.420282
