so_id,order_date,warehouse_id,status,created_at
SO-ae8d25fe7044,2025-02-27,WH_Midland,completed,2025-02-27T14:39:29.187794
SO-d29367bc319b,2025-02-27,WH1_South,completed,2025-02-27T14:39:29.187794
SO-b622182e18f2,2025-02-27,WH_Midland,completed,2025-02-27T14:39:29.187794
SO-45d078990df2,2025-02-27,WH_North,completed,2025-02-27T14:39:29.187794
SO-6f0c0e3ade9b,2025-02-27,WH_North,completed,2025-02-27T14:39:29.187794
SO-862d274dbf99,2025-02-27,WH1_South,completed,2025-02-27T14:39:29.187794
SO-d435facc4465,2025-02-27,WH_North,completed,2025-02-27T14:39:29.187794
SO-5f1036d80200,2025-02-27,WH_North,completed,2025-02-27T14:39:29.187794
SO-980423defef7,2025-02-27,WH1_South,completed,2025-02-27T14:39:29.187794
SO-33d80c69410c,2025-02-27,WH_North,completed,2025-02-27T14:39:29.187794
SO-83c888ada7c3,2025-02-27,WH_North,completed,2025-02-27T14:39:29.187794
SO-f30da1cc723e,2025-02-27,WH1_South,completed,2025-02-27T14:39:29.187794
SO-d6c22e4908e0,2025-02-27,WH_North,completed,2025-02-27T14:39:29.187794
SO-250fed654848,2025-02-27,WH_North,completed,2025-02-27T14:39:29.187794
SO-226190e6b21d,2025-02-27,WH_North,completed,2025-02-27T14:39:29.187794
SO-741bcf18eb53,2025-02-27,WH1_South,completed,2025-02-27T14:39:29.187794
SO-2c8bf8047297,2025-02-27,WH1_South,completed,2025-02-27T14:39:29.187794
SO-9c9fb0644a97,2025-02-27,WH1_South,completed,2025-02-27T14:39:29.187794
SO-0837e5b032fb,2025-02-27,WH1_South,completed,2025-02-27T14:39:29.187794
SO-b91e9eb61463,2025-02-27,WH_North,completed,2025-02-27T14:39:29.187794
SO-e8316032f6ee,2025-02-27,WH_North,completed,2025-02-27T14:39:29.187794
SO-6ffcdcdde21c,2025-02-27,WH_Midland,completed,2025-02-27T14:39:29.187794
SO-859fdd98eeff,2025-02-27,WH_Midland,completed,2025-02-27T14:39:29.187794
SO-fb7a7e9eb197,2025-02-27,WH_Midland,completed,2025-02-27T14:39:29.187794
SO-ced772973d0d,2025-02-27,WH_North,completed,2025-02-27T14:39:29.187794
SO-33e31c63fe82,2025-02-27,WH_North,completed,2025-02-27T14:39:29.187794
SO-84e2736a7f6e,2025-02-27,WH_Midland,completed,2025-02-27T14:39:29.187794
SO-3c883ca30022,2025-02-27,WH1_South,completed,2025-02-27T14:39:29.187794
SO-c797da9e2307,2025-02-27,WH_Midland,completed,2025-02-27T14:39:29.187794
SO-5b522a5a501c,2025-02-27,WH_Midland,completed,2025-02-27T14:39:29.187794
SO-055286b4ec96,2025-02-27,WH_North,completed,2025-02-27T14:39:29.187794
SO-cfe6d2f04671,2025-02-27,WH_Midland,completed,2025-02-27T14:39:29.187794
SO-1cce2bd0df18,2025-02-27,WH_Midland,completed,2025-02-27T14:39:29.187794
SO-917256c80906,2025-02-27,WH_Midland,completed,2025-02-27T14:39:29.187794
SO-0267fca701d5,2025-02-27,WH1_South,completed,2025-02-27T14:39:29.187794
SO-ba2407f2778b,2025-02-27,WH1_South,completed,2025-02-27T14:39:29.187794
SO-1b39b179b634,2025-02-27,WH_Midland,completed,2025-02-27T14:39:29.187794
SO-55d8f47c8768,2025-02-27,WH_Midland,completed,2025-02-27T14:39:29.187794
SO-c8b3dd7a8aea,2025-02-27,WH_North,completed,2025-02-27T14:39:29.187794
SO-eb2aa64ea5c7,2025-02-27,WH_Midland,completed,2025-02-27T14:39:29.187794
SO-9c0c051c1ff3,2025-02-27,WH1_South,completed,2025-02-27T14:39:29.187794
SO-387533e94432,2025-02-27,WH1_South,completed,2025-02-27T14:39:29.187794
SO-9cf24fc12156,2025-02-27,WH1_South,completed,2025-02-27T14:39:29.187794
SO-3e49b80a0e63,2025-02-27,WH1_South,completed,2025-02-27T14:39:29.187794
SO-eb8378970b75,2025-02-27,WH_Midland,completed,2025-02-27T14:39:29.187794
SO-2396a745528a,2025-02-27,WH1_South,completed,2025-02-27T14:39:29.187794
SO-3a2410499fe3,2025-02-27,WH1_South,completed,2025-02-27T14:39:29.187794
SO-1dd87a43c005,2025-02-27,WH_North,completed,2025-02-27T14:39:29.187794
SO-9f9298754aca,2025-02-27,WH_Midland,completed,2025-02-27T14:39:29.187794
SO-0641920e9c2a,2025-02-27,WH_Midland,completed,2025-02-27T14:39:29.187794
SO-4fbb784bd32a,2025-02-27,WH1_South,completed,2025-02-27T14:39:29.187794
SO-f3ee9d073646,2025-02-27,WH_Midland,completed,2025-02-27T14:39:29.187794
SO-931c42817540,2025-02-28,WH_Midland,completed,2025-02-28T14:39:29.187794
SO-d0143e2048e8,2025-02-28,WH_Midland,completed,2025-02-28T14:39:29.187794
SO-9731f6cc9e59,2025-02-28,WH_North,completed,2025-02-28T14:39:29.187794
SO-85ad654b8059,2025-02-28,WH_Midland,completed,2025-02-28T14:39:29.187794
SO-4a199d688855,2025-02-28,WH1_South,completed,2025-02-28T14:39:29.187794
SO-beeef6affcb1,2025-02-28,WH1_South,completed,2025-02-28T14:39:29.187794
SO-793ec01fa043,2025-02-28,WH1_South,completed,2025-02-28T14:39:29.187794
SO-88f2769808e8,2025-02-28,WH1_South,completed,2025-02-28T14:39:29.187794
SO-17213fbae212,2025-02-28,WH_North,completed,2025-02-28T14:39:29.187794
SO-f1585b37e123,2025-02-28,WH_Midland,completed,2025-02-28T14:39:29.187794
SO-c3c6679002bb,2025-02-28,WH1_South,completed,2025-02-28T14:39:29.187794
SO-0d3053527c8b,2025-02-28,WH1_South,completed,2025-02-28T14:39:29.187794
SO-861289453b8e,2025-02-28,WH_Midland,completed,2025-02-28T14:39:29.187794
SO-c91f5f66f737,2025-02-28,WH_North,completed,2025-02-28T14:39:29.187794
SO-826f7c09faac,2025-02-28,WH_North,completed,2025-02-28T14:39:29.187794
SO-8ae7efda1e37,2025-02-28,WH1_South,completed,2025-02-28T14:39:29.187794
SO-803ed90df238,2025-02-28,WH_North,completed,2025-02-28T14:39:29.187794
SO-238eeb4527e1,2025-02-28,WH_Midland,completed,2025-02-28T14:39:29.187794
SO-63a6d15c0356,2025-02-28,WH_North,completed,2025-02-28T14:39:29.187794
SO-50dee8446b6d,2025-02-28,WH_North,completed,2025-02-28T14:39:29.187794
SO-c6c745aedef4,2025-02-28,WH_Midland,completed,2025-02-28T14:39:29.187794
SO-b8a7a93e8fe9,2025-02-28,WH_North,completed,2025-02-28T14:39:29.187794
SO-8b198a307aab,2025-02-28,WH_Midland,completed,2025-02-28T14:39:29.187794
SO-23791ee17317,2025-02-28,WH1_South,completed,2025-02-28T14:39:29.187794
SO-b7e0e499f169,2025-02-28,WH_North,completed,2025-02-28T14:39:29.187794
SO-b6f9738c4231,2025-02-28,WH_North,completed,2025-02-28T14:39:29.187794
SO-21f7d029db1a,2025-02-28,WH1_South,completed,2025-02-28T14:39:29.187794
SO-1c80fb71576f,2025-02-28,WH1_South,completed,2025-02-28T14:39:29.187794
SO-2b5512a8dd37,2025-02-28,WH1_South,completed,2025-02-28T14:39:29.187794
SO-495c785812ca,2025-02-28,WH_Midland,completed,2025-02-28T14:39:29.187794
SO-7b9bbdf29387,2025-02-28,WH_Midland,completed,2025-02-28T14:39:29.187794
SO-9aedd5d23406,2025-02-28,WH1_South,completed,2025-02-28T14:39:29.187794
SO-61e2c95fccb0,2025-02-28,WH_North,completed,2025-02-28T14:39:29.187794
