so_line_id,so_id,product_id,quantity,created_at
SOL-60b3b7ab83ff,SO-ae8d25fe7044,PROD-01570,17,2025-02-27T14:39:29.187794
SOL-4e13b2405835,SO-ae8d25fe7044,PROD-01823,9,2025-02-27T14:39:29.187794
SOL-5ced945e7200,SO-ae8d25fe7044,PROD-01899,13,2025-02-27T14:39:29.187794
SOL-dbb0216fc386,SO-d29367bc319b,PROD-01159,10,2025-02-27T14:39:29.187794
SOL-2536994cfa29,SO-d29367bc319b,PROD-00389,4,2025-02-27T14:39:29.187794
SOL-c25bca173d23,SO-b622182e18f2,PROD-01087,13,2025-02-27T14:39:29.187794
SOL-0900e438ea1e,SO-b622182e18f2,PROD-01329,7,2025-02-27T14:39:29.187794
SOL-b95cef6c82ed,SO-b622182e18f2,PROD-01768,11,2025-02-27T14:39:29.187794
SOL-49ea8b474989,SO-b622182e18f2,PROD-01500,17,2025-02-27T14:39:29.187794
SOL-4b17b0e43650,SO-b622182e18f2,PROD-01202,4,2025-02-27T14:39:29.187794
SOL-3cb0fc6c018a,SO-45d078990df2,PROD-01652,16,2025-02-27T14:39:29.187794
SOL-cc8b5665b525,SO-45d078990df2,PROD-00991,2,2025-02-27T14:39:29.187794
SOL-96db81f7f2ac,SO-45d078990df2,PROD-01543,19,2025-02-27T14:39:29.187794
SOL-69373c5dc32e,SO-45d078990df2,PROD-00508,6,2025-02-27T14:39:29.187794
SOL-d1170cb71652,SO-45d078990df2,PROD-01108,16,2025-02-27T14:39:29.187794
SOL-a8dc7eaa3879,SO-6f0c0e3ade9b,PROD-01038,6,2025-02-27T14:39:29.187794
SOL-d6a1bd34d9ee,SO-862d274dbf99,PROD-01880,11,2025-02-27T14:39:29.187794
SOL-ff4906309965,SO-862d274dbf99,PROD-01207,1,2025-02-27T14:39:29.187794
SOL-4278dc156c47,SO-862d274dbf99,PROD-00609,20,2025-02-27T14:39:29.187794
SOL-7fbdac47cc97,SO-862d274dbf99,PROD-00329,1,2025-02-27T14:39:29.187794
SOL-e3c71408b5c6,SO-d435facc4465,PROD-00027,3,2025-02-27T14:39:29.187794
SOL-2b6e9930277c,SO-5f1036d80200,PROD-01215,20,2025-02-27T14:39:29.187794
SOL-62e0a61f6f63,SO-980423defef7,PROD-01566,12,2025-02-27T14:39:29.187794
SOL-fe3a289264b4,SO-980423defef7,PROD-00235,1,2025-02-27T14:39:29.187794
SOL-4f1df8d0bc6f,SO-980423defef7,PROD-00223,12,2025-02-27T14:39:29.187794
SOL-3942de62b8cb,SO-980423defef7,PROD-00142,17,2025-02-27T14:39:29.187794
SOL-89dc53ea0e12,SO-33d80c69410c,PROD-01032,1,2025-02-27T14:39:29.187794
SOL-6761bb766499,SO-33d80c69410c,PROD-00119,8,2025-02-27T14:39:29.187794
SOL-06a128a5572d,SO-33d80c69410c,PROD-00062,6,2025-02-27T14:39:29.187794
SOL-62c4940ae8a9,SO-33d80c69410c,PROD-01009,18,2025-02-27T14:39:29.187794
SOL-af4a7460a98f,SO-83c888ada7c3,PROD-01107,4,2025-02-27T14:39:29.187794
SOL-34f6443191c7,SO-83c888ada7c3,PROD-01523,11,2025-02-27T14:39:29.187794
SOL-d9f0667053a6,SO-83c888ada7c3,PROD-00502,8,2025-02-27T14:39:29.187794
SOL-33e0f560c5df,SO-83c888ada7c3,PROD-00535,3,2025-02-27T14:39:29.187794
SOL-31d4306ec04b,SO-83c888ada7c3,PROD-00662,17,2025-02-27T14:39:29.187794
SOL-55f62db412cf,SO-f30da1cc723e,PROD-00446,5,2025-02-27T14:39:29.187794
SOL-1db848af74f7,SO-f30da1cc723e,PROD-00467,11,2025-02-27T14:39:29.187794
SOL-24b37f005947,SO-f30da1cc723e,PROD-01197,18,2025-02-27T14:39:29.187794
SOL-5fdc97402b51,SO-f30da1cc723e,PROD-00856,18,2025-02-27T14:39:29.187794
SOL-37f4bb97488e,SO-f30da1cc723e,PROD-01441,12,2025-02-27T14:39:29.187794
SOL-d81d48aa97eb,SO-d6c22e4908e0,PROD-00913,12,2025-02-27T14:39:29.187794
SOL-29b4964d06cb,SO-d6c22e4908e0,PROD-01626,12,2025-02-27T14:39:29.187794
SOL-4e905df19087,SO-d6c22e4908e0,PROD-00193,1,2025-02-27T14:39:29.187794
SOL-829b35fb928c,SO-250fed654848,PROD-01299,7,2025-02-27T14:39:29.187794
SOL-903b084d6055,SO-250fed654848,PROD-01466,13,2025-02-27T14:39:29.187794
SOL-27bff1397544,SO-250fed654848,PROD-01915,13,2025-02-27T14:39:29.187794
SOL-cac34891b7a0,SO-250fed654848,PROD-00189,3,2025-02-27T14:39:29.187794
SOL-92e357d00d58,SO-226190e6b21d,PROD-00267,6,2025-02-27T14:39:29.187794
SOL-e5532da85380,SO-226190e6b21d,PROD-01611,1,2025-02-27T14:39:29.187794
SOL-4dd517887860,SO-226190e6b21d,PROD-01503,11,2025-02-27T14:39:29.187794
SOL-ca9d02d42b47,SO-226190e6b21d,PROD-00662,14,2025-02-27T14:39:29.187794
SOL-525139cbeee2,SO-226190e6b21d,PROD-00327,2,2025-02-27T14:39:29.187794
SOL-2fc249d8f02b,SO-741bcf18eb53,PROD-01657,4,2025-02-27T14:39:29.187794
