supplier_id,supplier_name,contact_email,reliability_score,avg_lead_time_days,defect_rate,created_at
SUP-0000,Supplier 0 Ltd,contact@supplier0.com,0.8,15,0.007,2026-02-27T14:39:29.185362
SUP-0001,Supplier 1 Ltd,contact@supplier1.com,0.84,8,0.0114,2026-02-27T14:39:29.185389
SUP-0002,Supplier 2 Ltd,contact@supplier2.com,0.71,11,0.0296,2026-02-27T14:39:29.185396
SUP-0003,Supplier 3 Ltd,contact@supplier3.com,0.78,14,0.016,2026-02-27T14:39:29.185401
SUP-0004,Supplier 4 Ltd,contact@supplier4.com,0.85,12,0.0327,2026-02-27T14:39:29.185405
SUP-0005,Supplier 5 Ltd,contact@supplier5.com,0.85,16,0.025,2026-02-27T14:39:29.185427
SUP-0006,Supplier 6 Ltd,contact@supplier6.com,0.93,9,0.0378,2026-02-27T14:39:29.185432
SUP-0007,Supplier 7 Ltd,contact@supplier7.com,0.84,21,0.0431,2026-02-27T14:39:29.185435
SUP-0008,Supplier 8 Ltd,contact@supplier8.com,0.81,8,0.0073,2026-02-27T14:39:29.185437
SUP-0009,Supplier 9 Ltd,contact@supplier9.com,0.75,11,0.0389,2026-02-27T14:39:29.185439
SUP-0010,Supplier 10 Ltd,contact@supplier10.com,0.78,9,0.0233,2026-02-27T14:39:29.185456
SUP-0011,Supplier 11 Ltd,contact@supplier11.com,0.79,14,0.0483,2026-02-27T14:39:29.185461
SUP-0012,Supplier 12 Ltd,contact@supplier12.com,0.89,21,0.0359,2026-02-27T14:39:29.185464
SUP-0013,Supplier 13 Ltd,contact@supplier13.com,0.86,15,0.0114,2026-02-27T14:39:29.185467
SUP-0014,Supplier 14 Ltd,contact@supplier14.com,0.74,3,0.0452,2026-02-27T14:39:29.185469
SUP-0015,Supplier 15 Ltd,contact@supplier15.com,0.83,20,0.0442,2026-02-27T14:39:29.185476
SUP-0016,Supplier 16 Ltd,contact@supplier16.com,0.9,21,0.0286,2026-02-27T14:39:29.185478
SUP-0017,Supplier 17 Ltd,contact@supplier17.com,0.79,17,0.0439,2026-02-27T14:39:29.185481
SUP-0018,Supplier 18 Ltd,contact@supplier18.com,0.78,8,0.0229,2026-02-27T14:39:29.185483
SUP-0019,Supplier 19 Ltd,contact@supplier19.com,0.8,13,0.01,2026-02-27T14:39:29.185485
SUP-0020,Supplier 20 Ltd,contact@supplier20.com,0.87,5,0.0109,2026-02-27T14:39:29.185487
SUP-0021,Supplier 21 Ltd,contact@supplier21.com,0.81,14,0.0064,2026-02-27T14:39:29.185489
SUP-0022,Supplier 22 Ltd,contact@supplier22.com,0.76,19,0.0268,2026-02-27T14:39:29.185491
SUP-0023,Supplier 23 Ltd,contact@supplier23.com,0.98,7,0.044,2026-02-27T14:39:29.185494
SUP-0024,Supplier 24 Ltd,contact@supplier24.com,0.81,3,0.0204,2026-02-27T14:39:29.185496
SUP-0025,Supplier 25 Ltd,contact@supplier25.com,0.74,20,0.0013,2026-02-27T14:39:29.185498
SUP-0026,Supplier 26 Ltd,contact@supplier26.com,0.76,20,0.0064,2026-02-27T14:39:29.185501
SUP-0027,Supplier 27 Ltd,contact@supplier27.com,0.78,19,0.0213,2026-02-27T14:39:29.185503
SUP-0028,Supplier 28 Ltd,contact@supplier28.com,0.99,6,0.0101,2026-02-27T14:39:29.185505
SUP-0029,Supplier 29 Ltd,contact@supplier29.com,0.79,7,0.0472,2026-02-27T14:39:29.185507
SUP-0030,Supplier 30 Ltd,contact@supplier30.com,0.94,8,0.0112,2026-02-27T14:39:29.185509
SUP-0031,Supplier 31 Ltd,contact@supplier31.com,0.97,5,0.0343,2026-02-27T14:39:29.185512
SUP-0032,Supplier 32 Ltd,contact@supplier32.com,0.76,15,0.0379,2026-02-27T14:39:29.185514
SUP-0033,Supplier 33 Ltd,contact@supplier33.com,0.88,14,0.0207,2026-02-27T14:39:29.185516
SUP-0034,Supplier 34 Ltd,contact@supplier34.com,0.81,14,0.0174,2026-02-27T14:39:29.185518
SUP-0035,Supplier 35 Ltd,contact@supplier35.com,0.72,16,0.0251,2026-02-27T14:39:29.185520
SUP-0036,Supplier 36 Ltd,contact@supplier36.com,0.72,4,0.0271,2026-02-27T14:39:29.185523
SUP-0037,Supplier 37 Ltd,contact@supplier37.com,0.75,21,0.0483,2026-02-27T14:39:29.185525
SUP-0038,Supplier 38 Ltd,contact@supplier38.com,0.83,5,0.0125,2026-02-27T14:39:29.185527
SUP-0039,Supplier 39 Ltd,contact@supplier39.com,0.92,5,0.0071,2026-02-27T14:39:29.185529
SUP-0040,Supplier 40 Ltd,contact@supplier40.com,0.71,18,0.0171,2026-02-27T14:39:29.185531
SUP-0041,Supplier 41 Ltd,contact@supplier41.com,0.95,6,0.0376,2026-02-27T14:39:29.185533
SUP-0042,Supplier 42 Ltd,contact@supplier42.com,0.74,11,0.0052,2026-02-27T14:39:29.185535
SUP-0043,Supplier 43 Ltd,contact@supplier43.com,0.82,7,0.0379,2026-02-27T14:39:29.185537
SUP-0044,Supplier 44 Ltd,contact@supplier44.com,0.94,16,0.041,2026-02-27T14:39:29.185539
SUP-0045,Supplier 45 Ltd,contact@supplier45.com,0.84,16,0.0236,2026-02-27T14:39:29.185541
SUP-0046,Supplier 46 Ltd,contact@supplier46.com,0.72,9,0.0127,2026-02-27T14:39:29.185544
SUP-0047,Supplier 47 Ltd,contact@supplier47.com,0.73,5,0.0085,2026-02-27T14:39:29.185546
SUP-0048,Supplier 48 Ltd,contact@supplier48.com,0.99,11,0.0277,2026-02-27T14:39:29.185548
SUP-0049,Supplier 49 Ltd,contact@supplier49.com,0.97,10,0.039,2026-02-27T14:39:29.185550
SUP-0050,Supplier 50 Ltd,contact@supplier50.com,0.96,4,0.0115,2026-02-27T14:39:29.185552
SUP-0051,Supplier 51 Ltd,contact@supplier51.com,0.96,16,0.0284,2026-02-27T14:39:29.185554
SUP-0052,Supplier 52 Ltd,contact@supplier52.com,0.7,10,0.02,2026-02-27T14:39:29.185557
SUP-0053,Supplier 53 Ltd,contact@supplier53.com,0.89,16,0.0114,2026-02-27T14:39:29.185559
SUP-0054,Supplier 54 Ltd,contact@supplier54.com,0.77,8,0.0154,2026-02-27T14:39:29.185561
SUP-0055,Supplier 55 Ltd,contact@supplier55.com,0.96,14,0.0158,2026-02-27T14:39:29.185563
SUP-0056,Supplier 56 Ltd,contact@supplier56.com,0.96,5,0.0476,2026-02-27T14:39:29.185565
SUP-0057,Supplier 57 Ltd,contact@supplier57.com,0.97,6,0.0288,2026-02-27T14:39:29.185567
SUP-0058,Supplier 58 Ltd,contact@supplier58.com,0.84,4,0.0113,2026-02-27T14:39:29.185570
SUP-0059,Supplier 59 Ltd,contact@supplier59.com,0.74,18,0.0425,2026-02-27T14:39:29.185572
SUP-0060,Supplier 60 Ltd,contact@supplier60.com,0.73,3,0.0489,2026-02-27T14:39:29.185574
SUP-0061,Supplier 61 Ltd,contact@supplier61.com,0.73,14,0.02,2026-02-27T14:39:29.185576
SUP-0062,Supplier 62 Ltd,contact@supplier62.com,0.89,6,0.0307,2026-02-27T14:39:29.185578
SUP-0063,Supplier 63 Ltd,contact@supplier63.com,0.83,6,0.0315,2026-02-27T14:39:29.185580
SUP-0064,Supplier 64 Ltd,contact@supplier64.com,0.9,4,0.0455,2026-02-27T14:39:29.185582
SUP-0065,Supplier 65 Ltd,contact@supplier65.com,0.84,15,0.0346,2026-02-27T14:39:29.185585
SUP-0066,Supplier 66 Ltd,contact@supplier66.com,0.74,3,0.048,2026-02-27T14:39:29.185589
SUP-0067,Supplier 67 Ltd,contact@supplier67.com,0.95,17,0.0331,2026-02-27T14:39:29.185591
SUP-0068,Supplier 68 Ltd,contact@supplier68.com,0.7,19,0.0351,2026-02-27T14:39:29.185593
SUP-0069,Supplier 69 Ltd,contact@supplier69.com,0.76,6,0.0194,2026-02-27T14:39:29.185595
SUP-0070,Supplier 70 Ltd,contact@supplier70.com,0.78,12,0.0354,2026-02-27T14:39:29.185598
SUP-0071,Supplier 71 Ltd,contact@supplier71.com,0.89,14,0.0221,2026-02-27T14:39:29.185600
SUP-0072,Supplier 72 Ltd,contact@supplier72.com,0.76,21,0.0357,2026-02-27T14:39:29.185602
SUP-0073,Supplier 73 Ltd,contact@supplier73.com,0.79,16,0.0186,2026-02-27T14:39:29.185604
SUP-0074,Supplier 74 Ltd,contact@supplier74.com,0.82,19,0.0263,2026-02-27T14:39:29.185606
SUP-0075,Supplier 75 Ltd,contact@supplier75.com,0.75,16,0.0418,2026-02-27T14:39:29.185608
SUP-0076,Supplier 76 Ltd,contact@supplier76.com,0.95,15,0.0238,2026-02-27T14:39:29.185610
SUP-0077,Supplier 77 Ltd,contact@supplier77.com,0.72,16,0.0123,2026-02-27T14:39:29.185613
SUP-0078,Supplier 78 Ltd,contact@supplier78.com,0.91,6,0.0428,2026-02-27T14:39:29.185615
SUP-0079,Supplier 79 Ltd,contact@supplier79.com,0.88,12,0.0326,2026-02-27T14:39:29.185617
SUP-0080,Supplier 80 Ltd,contact@supplier80.com,0.7,11,0.0118,2026-02-27T14:39:29.185620
SUP-0081,Supplier 81 Ltd,contact@supplier81.com,0.8,10,0.0261,2026-02-27T14:39:29.185622
SUP-0082,Supplier 82 Ltd,contact@supplier82.com,0.95,7,0.0026,2026-02-27T14:39:29.185624
SUP-0083,Supplier 83 Ltd,contact@supplier83.com,0.78,20,0.0094,2026-02-27T14:39:29.185626
SUP-0084,Supplier 84 Ltd,contact@supplier84.com,0.76,3,0.0138,2026-02-27T14:39:29.185628
SUP-0085,Supplier 85 Ltd,contact@supplier85.com,0.97,21,0.0372,2026-02-27T14:39:29.185630
SUP-0086,Supplier 86 Ltd,contact@supplier86.com,0.8,8,0.0317,2026-02-27T14:39:29.185633
SUP-0087,Supplier 87 Ltd,contact@supplier87.com,0.96,6,0.0104,2026-02-27T14:39:29.185635
SUP-0088,Supplier 88 Ltd,contact@supplier88.com,0.76,12,0.006,2026-02-27T14:39:29.185637
SUP-0089,Supplier 89 Ltd,contact@supplier89.com,0.71,20,0.0069,2026-02-27T14:39:29.185639
SUP-0090,Supplier 90 Ltd,contact@supplier90.com,0.74,6,0.0335,2026-02-27T14:39:29.185641
SUP-0091,Supplier 91 Ltd,contact@supplier91.com,0.82,7,0.038,2026-02-27T14:39:29.185643
SUP-0092,Supplier 92 Ltd,contact@supplier92.com,0.78,6,0.0498,2026-02-27T14:39:29.185645
SUP-0093,Supplier 93 Ltd,contact@supplier93.com,0.85,12,0.0478,2026-02-27T14:39:29.185647
SUP-0094,Supplier 94 Ltd,contact@supplier94.com,0.72,10,0.0438,2026-02-27T14:39:29.185649
SUP-0095,Supplier 95 Ltd,contact@supplier95.com,0.93,19,0.0478,2026-02-27T14:39:29.185651
SUP-0096,Supplier 96 Ltd,contact@supplier96.com,0.71,12,0.0255,2026-02-27T14:39:29.185654
SUP-0097,Supplier 97 Ltd,contact@supplier97.com,0.74,7,0.0467,2026-02-27T14:39:29.185656
SUP-0098,Supplier 98 Ltd,contact@supplier98.com,0.92,13,0.0017,2026-02-27T14:39:29.185658
SUP-0099,Supplier 99 Ltd,contact@supplier99.com,0.82,8,0.015,2026-02-27T14:39:29.185660
SUP-0100,Supplier 100 Ltd,contact@supplier100.com,0.77,20,0.0286,2026-02-27T14:39:29.185663
SUP-0101,Supplier 101 Ltd,contact@supplier101.com,0.88,7,0.0238,2026-02-27T14:39:29.185665
